indicator,sex,month,l,m,s
HEIGHT_TO_AGE,FEMALE,0,1.000000,49.147700,0.037900
HEIGHT_TO_AGE,FEMALE,1,1.000000,53.632600,0.036410
HEIGHT_TO_AGE,FEMALE,2,1.000000,57.079600,0.035680
HEIGHT_TO_AGE,FEMALE,3,1.000000,59.777300,0.035200
HEIGHT_TO_AGE,FEMALE,4,1.000000,62.107100,0.034860
HEIGHT_TO_AGE,FEMALE,5,1.000000,64.019000,0.034630
HEIGHT_TO_AGE,FEMALE,6,1.000000,65.751000,0.034480
HEIGHT_TO_AGE,FEMALE,7,1.000000,67.284200,0.034410
HEIGHT_TO_AGE,FEMALE,8,1.000000,68.773200,0.034400
HEIGHT_TO_AGE,FEMALE,9,1.000000,70.146300,0.034440
HEIGHT_TO_AGE,FEMALE,10,1.000000,71.465600,0.034520
HEIGHT_TO_AGE,FEMALE,11,1.000000,72.778800,0.034640
HEIGHT_TO_AGE,FEMALE,12,1.000000,74.004900,0.034790
HEIGHT_TO_AGE,FEMALE,13,1.000000,75.229700,0.034960
HEIGHT_TO_AGE,FEMALE,14,1.000000,76.377000,0.035140
HEIGHT_TO_AGE,FEMALE,15,1.000000,77.525800,0.035340
HEIGHT_TO_AGE,FEMALE,16,1.000000,78.605500,0.035550
HEIGHT_TO_AGE,FEMALE,17,1.000000,79.655900,0.035760
HEIGHT_TO_AGE,FEMALE,18,1.000000,80.712100,0.035980
HEIGHT_TO_AGE,FEMALE,19,1.000000,81.708000,0.036200
HEIGHT_TO_AGE,FEMALE,20,1.000000,82.711600,0.036430
HEIGHT_TO_AGE,FEMALE,21,1.000000,83.659500,0.036650
HEIGHT_TO_AGE,FEMALE,22,1.000000,84.615400,0.036890
HEIGHT_TO_AGE,FEMALE,23,1.000000,85.518400,0.037110
HEIGHT_TO_AGE,FEMALE,24,1.000000,85.729900,0.037640
HEIGHT_TO_AGE,FEMALE,25,1.000000,86.592200,0.037860
HEIGHT_TO_AGE,FEMALE,26,1.000000,87.435800,0.038080
HEIGHT_TO_AGE,FEMALE,27,1.000000,88.288100,0.038300
HEIGHT_TO_AGE,FEMALE,28,1.000000,89.093800,0.038510
HEIGHT_TO_AGE,FEMALE,29,1.000000,89.907200,0.038720
HEIGHT_TO_AGE,FEMALE,30,1.000000,90.676500,0.038930
HEIGHT_TO_AGE,FEMALE,31,1.000000,91.453900,0.039130
HEIGHT_TO_AGE,FEMALE,32,1.000000,92.190600,0.039330
HEIGHT_TO_AGE,FEMALE,33,1.000000,92.913500,0.039520
HEIGHT_TO_AGE,FEMALE,34,1.000000,93.647300,0.039710
HEIGHT_TO_AGE,FEMALE,35,1.000000,94.346000,0.039890
HEIGHT_TO_AGE,FEMALE,36,1.000000,95.057200,0.040070
HEIGHT_TO_AGE,FEMALE,37,1.000000,95.735600,0.040240
HEIGHT_TO_AGE,FEMALE,38,1.000000,96.427000,0.040410
HEIGHT_TO_AGE,FEMALE,39,1.000000,97.087100,0.040570
HEIGHT_TO_AGE,FEMALE,40,1.000000,97.760100,0.040740
HEIGHT_TO_AGE,FEMALE,41,1.000000,98.402800,0.040890
HEIGHT_TO_AGE,FEMALE,42,1.000000,99.036900,0.041050
HEIGHT_TO_AGE,FEMALE,43,1.000000,99.683400,0.041200
HEIGHT_TO_AGE,FEMALE,44,1.000000,100.300700,0.041350
HEIGHT_TO_AGE,FEMALE,45,1.000000,100.930100,0.041500
HEIGHT_TO_AGE,FEMALE,46,1.000000,101.531200,0.041640
HEIGHT_TO_AGE,FEMALE,47,1.000000,102.144600,0.041790
HEIGHT_TO_AGE,FEMALE,48,1.000000,102.731200,0.041930
HEIGHT_TO_AGE,FEMALE,49,1.000000,103.311300,0.042060
HEIGHT_TO_AGE,FEMALE,50,1.000000,103.904500,0.042200
HEIGHT_TO_AGE,FEMALE,51,1.000000,104.472700,0.042330
HEIGHT_TO_AGE,FEMALE,52,1.000000,105.054100,0.042470
HEIGHT_TO_AGE,FEMALE,53,1.000000,105.611400,0.042590
HEIGHT_TO_AGE,FEMALE,54,1.000000,106.181700,0.042720
HEIGHT_TO_AGE,FEMALE,55,1.000000,106.728400,0.042850
HEIGHT_TO_AGE,FEMALE,56,1.000000,107.287800,0.042980
HEIGHT_TO_AGE,FEMALE,57,1.000000,107.823800,0.043100
HEIGHT_TO_AGE,FEMALE,58,1.000000,108.354700,0.043220
HEIGHT_TO_AGE,FEMALE,59,1.000000,108.898100,0.043350
HEIGHT_TO_AGE,FEMALE,60,1.000000,109.418900,0.043460
HEIGHT_TO_AGE,FEMALE,61,1.000000,109.601600,0.043550
HEIGHT_TO_AGE,FEMALE,62,1.000000,110.125800,0.043640
HEIGHT_TO_AGE,FEMALE,63,1.000000,110.645100,0.043730
HEIGHT_TO_AGE,FEMALE,64,1.000000,111.159600,0.043820
HEIGHT_TO_AGE,FEMALE,65,1.000000,111.669600,0.043900
HEIGHT_TO_AGE,FEMALE,66,1.000000,112.175300,0.043990
HEIGHT_TO_AGE,FEMALE,67,1.000000,112.676700,0.044070
HEIGHT_TO_AGE,FEMALE,68,1.000000,113.174000,0.044150
HEIGHT_TO_AGE,FEMALE,69,1.000000,113.667200,0.044230
HEIGHT_TO_AGE,FEMALE,70,1.000000,114.156500,0.044310
HEIGHT_TO_AGE,FEMALE,71,1.000000,114.642100,0.044390
HEIGHT_TO_AGE,FEMALE,72,1.000000,115.124400,0.044470
HEIGHT_TO_AGE,FEMALE,73,1.000000,115.603900,0.044540
HEIGHT_TO_AGE,FEMALE,74,1.000000,116.081200,0.044610
HEIGHT_TO_AGE,FEMALE,75,1.000000,116.556800,0.044690
HEIGHT_TO_AGE,FEMALE,76,1.000000,117.031100,0.044750
HEIGHT_TO_AGE,FEMALE,77,1.000000,117.504400,0.044820
HEIGHT_TO_AGE,FEMALE,78,1.000000,117.976900,0.044890
HEIGHT_TO_AGE,FEMALE,79,1.000000,118.448900,0.044950
HEIGHT_TO_AGE,FEMALE,80,1.000000,118.920800,0.045020
HEIGHT_TO_AGE,FEMALE,81,1.000000,119.392600,0.045080
HEIGHT_TO_AGE,FEMALE,82,1.000000,119.864800,0.045140
HEIGHT_TO_AGE,FEMALE,83,1.000000,120.337400,0.045200
HEIGHT_TO_AGE,FEMALE,84,1.000000,120.810500,0.045250
HEIGHT_TO_AGE,FEMALE,85,1.000000,121.284300,0.045310
HEIGHT_TO_AGE,FEMALE,86,1.000000,121.758700,0.045360
HEIGHT_TO_AGE,FEMALE,87,1.000000,122.233800,0.045420
HEIGHT_TO_AGE,FEMALE,88,1.000000,122.709800,0.045470
HEIGHT_TO_AGE,FEMALE,89,1.000000,123.186800,0.045510
HEIGHT_TO_AGE,FEMALE,90,1.000000,123.664600,0.045560
HEIGHT_TO_AGE,FEMALE,91,1.000000,124.143500,0.045610
HEIGHT_TO_AGE,FEMALE,92,1.000000,124.623400,0.045650
HEIGHT_TO_AGE,FEMALE,93,1.000000,125.104500,0.045690
HEIGHT_TO_AGE,FEMALE,94,1.000000,125.586900,0.045730
HEIGHT_TO_AGE,FEMALE,95,1.000000,126.070600,0.045770
HEIGHT_TO_AGE,FEMALE,96,1.000000,126.555800,0.045810
HEIGHT_TO_AGE,FEMALE,97,1.000000,127.042400,0.045850
HEIGHT_TO_AGE,FEMALE,98,1.000000,127.530400,0.045880
HEIGHT_TO_AGE,FEMALE,99,1.000000,128.019900,0.045910
HEIGHT_TO_AGE,FEMALE,100,1.000000,128.510900,0.045940
HEIGHT_TO_AGE,FEMALE,101,1.000000,129.003500,0.045970
HEIGHT_TO_AGE,FEMALE,102,1.000000,129.497500,0.046000
HEIGHT_TO_AGE,FEMALE,103,1.000000,129.993200,0.046020
HEIGHT_TO_AGE,FEMALE,104,1.000000,130.490400,0.046040
HEIGHT_TO_AGE,FEMALE,105,1.000000,130.989100,0.046070
HEIGHT_TO_AGE,FEMALE,106,1.000000,131.489500,0.046080
HEIGHT_TO_AGE,FEMALE,107,1.000000,131.991200,0.046100
HEIGHT_TO_AGE,FEMALE,108,1.000000,132.494400,0.046120
HEIGHT_TO_AGE,FEMALE,109,1.000000,132.998900,0.046130
HEIGHT_TO_AGE,FEMALE,110,1.000000,133.504600,0.046140
HEIGHT_TO_AGE,FEMALE,111,1.000000,134.011800,0.046150
HEIGHT_TO_AGE,FEMALE,112,1.000000,134.520200,0.046160
HEIGHT_TO_AGE,FEMALE,113,1.000000,135.029900,0.046160
HEIGHT_TO_AGE,FEMALE,114,1.000000,135.541000,0.046170
HEIGHT_TO_AGE,FEMALE,115,1.000000,136.053300,0.046170
HEIGHT_TO_AGE,FEMALE,116,1.000000,136.567000,0.046160
HEIGHT_TO_AGE,FEMALE,117,1.000000,137.082100,0.046160
HEIGHT_TO_AGE,FEMALE,118,1.000000,137.598700,0.046160
HEIGHT_TO_AGE,FEMALE,119,1.000000,138.116700,0.046150
HEIGHT_TO_AGE,FEMALE,120,1.000000,138.636300,0.046140
HEIGHT_TO_AGE,FEMALE,121,1.000000,139.157500,0.046120
HEIGHT_TO_AGE,FEMALE,122,1.000000,139.680300,0.046110
HEIGHT_TO_AGE,FEMALE,123,1.000000,140.204900,0.046090
HEIGHT_TO_AGE,FEMALE,124,1.000000,140.731300,0.046070
HEIGHT_TO_AGE,FEMALE,125,1.000000,141.259400,0.046050
HEIGHT_TO_AGE,FEMALE,126,1.000000,141.789200,0.046030
HEIGHT_TO_AGE,FEMALE,127,1.000000,142.320600,0.046000
HEIGHT_TO_AGE,FEMALE,128,1.000000,142.853400,0.045970
HEIGHT_TO_AGE,FEMALE,129,1.000000,143.387400,0.045940
HEIGHT_TO_AGE,FEMALE,130,1.000000,143.922200,0.045910
HEIGHT_TO_AGE,FEMALE,131,1.000000,144.457500,0.045880
HEIGHT_TO_AGE,FEMALE,132,1.000000,144.992900,0.045840
HEIGHT_TO_AGE,FEMALE,133,1.000000,145.528000,0.045800
HEIGHT_TO_AGE,FEMALE,134,1.000000,146.062200,0.045760
HEIGHT_TO_AGE,FEMALE,135,1.000000,146.595100,0.045710
HEIGHT_TO_AGE,FEMALE,136,1.000000,147.126200,0.045670
HEIGHT_TO_AGE,FEMALE,137,1.000000,147.654800,0.045620
HEIGHT_TO_AGE,FEMALE,138,1.000000,148.180400,0.045570
HEIGHT_TO_AGE,FEMALE,139,1.000000,148.702300,0.045520
HEIGHT_TO_AGE,FEMALE,140,1.000000,149.219700,0.045460
HEIGHT_TO_AGE,FEMALE,141,1.000000,149.732200,0.045410
HEIGHT_TO_AGE,FEMALE,142,1.000000,150.239000,0.045350
HEIGHT_TO_AGE,FEMALE,143,1.000000,150.739400,0.045290
HEIGHT_TO_AGE,FEMALE,144,1.000000,151.232700,0.045230
HEIGHT_TO_AGE,FEMALE,145,1.000000,151.718200,0.045160
HEIGHT_TO_AGE,FEMALE,146,1.000000,152.195100,0.045100
HEIGHT_TO_AGE,FEMALE,147,1.000000,152.662800,0.045030
HEIGHT_TO_AGE,FEMALE,148,1.000000,153.120600,0.044970
HEIGHT_TO_AGE,FEMALE,149,1.000000,153.567800,0.044900
HEIGHT_TO_AGE,FEMALE,150,1.000000,154.004100,0.044830
HEIGHT_TO_AGE,FEMALE,151,1.000000,154.429000,0.044760
HEIGHT_TO_AGE,FEMALE,152,1.000000,154.842300,0.044680
