codigo_ibge,descricao,gramas,padrao
6300101-99,caneca,100,false
6300101-99,caneco,100,false
6300101-99,colher de arroz/servir,45,false
6300101-99,colher de cafe,3.1,false
6300101-99,colher de cha,6.3,false
6300101-99,colher de sobremesa,12.5,false
6300101-99,colher de sopa,25,false
6300101-99,concha,100,false
6300101-99,copo americano,100,false
6300101-99,copo grande,200,false
6300101-99,copo medio,200,false
6300101-99,escumadeira,85,false
6300101-99,garfada,25,false
6300101-99,grama,1,true
6300101-99,pegador,25,false
6300101-99,porcao,125,false
6300101-99,pote,100,false
6300101-99,prato de sobremesa,50,false
6300101-99,prato fundo,200,false
6300101-99,prato raso,100,false
6300101-99,quilo,1000,false
6300101-99,tigela,100,false
6300101-99,xicara de cha,100,false
6300201-99,caneca,100,false
6300201-99,colher de arroz/servir,63,false
6300201-99,colher de cha,5,false
6300201-99,colher de sobremesa,10,false
6300201-99,colher de sopa,20,false
6300201-99,concha,117,false
6300201-99,escumadeira,59,false
6300201-99,grama,1,true
6300201-99,pegador,20,false
6300201-99,porcao,198,false
6300201-99,prato de sobremesa,50,false
6300201-99,prato fundo,200,false
6300201-99,prato raso,100,false
6300201-99,quilo,1000,false
6300701-1,colher de sobremesa,17,false
6300701-1,colher de sopa,24,false
6300701-1,grama,1,true
6300701-1,quilo,1000,false
6300701-2,colher de arroz/servir,38,false
6300701-2,colher de sobremesa,17,false
6300701-2,colher de sopa,24,false
6300701-2,escumadeira,38,false
6300701-2,espiga,100,false
6300701-2,grama,1,true
6300701-2,pedaco,50,false
6300701-2,porcao,100,false
6300701-2,quilo,1000,false
6300701-2,unidade,100,false
6300701-2,unidade pequena,50,false
6300701-3,espiga,100,false
6300701-3,grama,1,true
6300701-3,quilo,1000,false
6300701-4,espiga,100,false
6300701-4,grama,1,true
6300701-4,pedaco,50,false
6300701-4,quilo,1000,false
6300701-4,unidade,100,false
6300701-7,colher de arroz/servir,38,false
6300701-7,colher de sopa,24,false
6300701-7,concha,76,false
6300701-7,grama,1,true
