codigo,descricao,grupo,energiaKcal,proteinaG,lipideosG,carboidratoG,fibraG,calcioMg,magnesioMg,manganesMg,fosforoMg,ferroMg,sodioMg,potassioMg,cobreMg,zincoMg,selenioMcg,retinolMcg,raeMcg,tiaminaMg,riboflavinaMg,niacinaMg,piridoxinaMg,vitaminaB12Mcg,folatoMcg,vitaminaDMcg,vitaminaEMg,vitaminaCMg,colesterolMg,gordurasSaturadasG,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasTransG,acucaresG,acucaresAdicionadosG
6300101-99,"Arroz (Polido, Parboilizado, Agulha, Agulhinha, Etc)",,135.6,2.5,1.2,27.78,1.55,3.51,2.23,0.294,17.77,0.08,1.19,14.53,0.015,0.49,0.45,,,,,,,,,,0.08,,,0.351,0.222,0.563,0.005,,
6300201-99,Arroz Integral,,130.9,2.56,1.97,25.56,2.72,5.15,58.13,0.621,104.82,0.26,1.23,74.42,0.02,0.68,0.45,,,0.079,,,0.079,,,,0.08,,,0.45,0.618,0.86,0.005,,
6300701-1,"Milho (em Grao), cru(a)",,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-2,"Milho (em Grao), cozido(a)",,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-3,"Milho (em Grao), grelhado(a)/brasa/churrasco",,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-4,"Milho (em Grao), assado(a)",,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-7,"Milho (em Grao), refogado(a)",,160.1,3.32,7.18,25.11,4.25,3,26,0.158,75,0.44,,212,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-13,"Milho (em Grao), ensopado",,160.1,3.32,7.18,25.11,4.25,3,26,0.158,75,0.44,,212,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300701-99,Milho (em Grao),,160.1,3.32,7.18,25.11,4.25,3.15,26.01,0.159,75,0.45,244.96,212.05,0.047,0.61,2.9,,13.17,0.215,0.072,1.614,0.06,,46,,0.572,6.2,,1.12,1.718,4.009,0.031,3.16,
6300706-1,"Canjiquinha de Milho em Grao, cru(a)",,79.7,1.24,2.2,13.5,0.67,3.45,6.93,0.031,17.91,0.74,131.5,25.96,0.023,0.13,2.85,,1.83,0.105,0.071,0.906,0.034,,20.81,,0.182,,,0.329,0.49,1.218,0.01,0.28,
