codigo_barras,descricao,marca,grupo,quantidade,acucaresAdicionadosG,acucaresG,calcioMg,carboidratoG,cobreMg,colesterolMg,energiaKcal,energiaKj,ferroMg,fibraG,fosforoMg,gordurasMonoinsaturadasG,gordurasPoliinsaturadasG,gordurasSaturadasG,gordurasTransG,lipideosG,magnesioMg,manganesMg,niacinaMg,piridoxinaMg,potassioMg,proteinaG,retinolMcg,riboflavinaMg,sodioMg,tiaminaMg,vitaminaCMg,zincoMg
7890000000710,Paleta Morango Com Leite Condensado,Gusta+,,,,26.6667,,30,,,152.5,643.5833,,,,,,,,2.5,,,,,,2.4167,,,35.8333,,,
7890000110266,Leite Condensado Semidesnatado ITALAC,Italac,Leites Condensados,395g,8.9,12,58,12,,,61,259.1,,0,,,,0.5,,0.8,,,,,,1.5,,,25,,,
7890000180146,Queijo Prato Fatiado Crioulo,Crioulo,Queijo prato,150g,,0,803.3333,0,,,396.6667,1630,,0,,,,24,0.6667,33.3333,,,,,,23.3333,,,890,,,
7890001161069,Cookie Bolo De Festa,Iron,,,28,31,,41,,,378,1672,,11,,,,,,18,,,,,,13,,,,,,
7890001596243,Palitos de batata finos Airfryer!,MCCAIN,Batatas fritas,1kg,0,0.5,,25,,,170,713.5,,3,,,,0.7,,6,,,,,,2.5,,,160,,,
7890001970029,Plin Kombucha Hibisco com frutas vermelhas,Plin,,,,,,3.56,,,14.24,,,,,,,,,,,,,,,,,,,,,
7890001970050,Kombucha,Plin,en:Kombuchas,,,,,3.35,,,16.4933,,,,,,,,,0.34,,,,,,,,,,,,
7890002000015,Pao de mel - Doce Ricordo - Doce Ricordo,,,,,,,67,,,435,1830.1,,3.2,,,,,,15,,,,,,6.5,,,,,,
7890002007236,Creme De Leite Piracanjuba,Piracanjuba,Cremes UHT,200g,0,4,,4,,,173.3333,709.3333,,0,,,,10.6667,,17.3333,,,,,,0,,,80,,,
7890010809587,Leite Desnatado Piracanjuba,Piracanjuba,Leites,1L,0,0,121.5,4.6,,,34,143.85,,0,,,,0.25,,0.35,,,,,,3.1,,,62,,,
7890014120725,Leite UHT Integral Qualitá Caixa com Tampa 1l,Qualitá,Leites UHT,1L,0,0,248,9.2,,35,116,483.8,,0,,,,3.5,,6,,,,,,6.2,,,129,,,
7890017981767,Sardinha Em Oléo 88 Lata 125g,88,Sardinhas enlatadas,125g,0,0,368.3333,0,,35,190,797.5,,0,,3.1667,5.5,2.1667,,10.8333,,,,,,23.3333,,,550,,,
7890020011460,Flores de damasco,,,,,50.8772,,54.386,,,445.614,1842.1053,,1.7544,,,,19.2982,,22.807,,,,,,3.5088,,,40.3509,,,
7890081032464,X whey proteína concentrado,,,,,,,6,,,113,428,,,,,,0.75,,1,,,,,,17,,,181,,,
7890106000751,Aveia Flocos Grossos Sem Glúten Casas Pedro - 200g,Casas Pedro,Flocos de aveia,200g,0,0,54,56.6667,0.63,0,340,1290,4.72,10,523,,,0,,6.6667,177,4.92,,0.12,429,0,,,0,,0,3.97
7890110201397,Chocolate amargo com caramelo crocante e flor de sal,Kopenhagen,,,,48,,54,,,526,2265.2,,6.8,,,,20,,32,,,,,,6.4,,,,,,
7890110201427,Dark 70% Cacau,Kopenhagen,,,,,,27.6,,,552,2379.2,,14,,,,27.2,,44,,,,,,10,,,,,,
7890110201441,Soul good,,,,,2.3,,8.9,,,160,611.1,,1.5,,,,7.2,,11,,,,,,2.4,,,1.9,,,
7890110201793,Keep kop crocantes caramelo & flor de sal,Kopenhagen,,,,43,,55,,,496,2123,,4.5,,,,12,,27,,,,,,9,,,,,,
7890110201991,Mini tablete 70% cacau,Kopenhagem,,,,,,9,,,109,464.1,,1.3,,,,,,7.3,,,,,,1.8,,,,,,
7890110202066,Tablete 70% cacau com nibs,Kopenhagen,,,,,,27.3333,,,630,2470.6667,,13.6667,,,,,,46.6667,,,,,,10,,,,,,
7890110202127,Bombons língua de gato,,,,,8,,39,,,585,2229,,5.5,,,,19.5,,37,,,,,,9,,,70,,,
7890110202165,80% Dark Chocolate,Kopenhagen,,,,18,,26,,,565,2368,,,,,,29,,47,,,,,,11,,,23,,,
7890110202264,Brownie Kopenhagen,Kopenhagen,en:chocolate-candies,,,,,39,,,210,382,,3.3,,,,11,0,18,,,,,,4.5,,,139,,,
7890110202356,Soul Good Creme de Avelã,Kopenhagen,,,,2.5,,36.5,,,555,2470,,15.5,,,,9,,42.5,,,,,,9,,,38.5,,,
7890110202363,Creme Lajotinha,Kopenhagen,,,,9.5,,40.5,,,540,2029,,4,,,,6.5,,31,,,,,,9.5,,,,,,
7890110202516,Canutti,,,,,44,,48,,,456,1898.8,,2.8,,,,12.4,,24.8,,,,,,8.4,,,72,,,
7890110202707,Trufas Artesanais Ao Leite,Kopenhagen,,,,44,,48,,,480,2001.3333,,,,,,18,,28.6667,,,,,,7.3333,,,93.3333,,,
7890110202721,Coleção Língua de Gato,Kopenhagen,,,,46,,47,,,578,2407.9,,3.1,,,,22,,39,,,,,,8.3,,,,,,
7890110501527,Panettone Língua de Gato,Kopenhagen,Panettone,,,,,56.25,,,437.5,1861.625,,1.875,,,,10.625,,21.25,,,,,,6.125,,,,,,
7890111000586,Chocolate 50% Caramelo E Flor De Sal,Kopenhagen,,,48,54,,54,,,526,2265.2,,6.8,,,,20,,32,,,,,,6.4,,,156,,,
7890114401991,Mini tablete 70%,Kopenhagem,,,,,,45,,,545,2320.5,,6.5,,,,,,36.5,,,,,,9,,,,,,
7890120202483,Chocolate zero bem me faz Brasil cacau,Brasil Cacau,,,,0.4,,9.3,,,132,485.2,,1.3,,,,5.1,,8.1,,,,,,1,,,,,,
7890120202612,Bombom zero gato Mia Brasil cacau,Brasil Cacau,,,,0.7,,9.1,,,119,436.3,,1.2,,,,3.6,,6.8,,,,,,1.2,,,,,,
7890120202650,Ovomaltine Recheado,BrasilCacau,Lanches doces,90 g,53.1246,,,56,,,532,2209.6,,,,,,16.4,,31.6,,,,,,5.2,,,77.216,,,
7890120202971,Dindinha,,,,,48.8889,,55.5556,,,444.4444,1869.5556,,2,,,,14.2222,,22.2222,,,,,,5.1111,,,688.8889,,,
7890120202988,Trufa de Toddy - Brasil Cacau - Brasil Cacau - Brasil Cacau - Brasil Cacau - Brasil Cacau - Brasil Cacau,,,,,,,53.3333,,,480,2037,,2,,,,,,27.6667,,,,,,5.3333,,,,,,
7890130202817,Trufa De Chocolate Suíço Ao Leite Lindt Lindor Caixa 112g 9 Unidades,LINDT LINDOR,,112g,,43,,44,,,623,2584.5,,2.2,,,,35,,47,,,,,,4.7,,,73,,,
7890130202848,Trufa De Chocolate Suíço Ao Leite Recheio Cremoso Coração Lindt Lindor Lata 50g 4 Unidades,LINDT LINDOR,,50g,,,,44,,,628,2627.552,,,,,,,,0,,,,,,4.8,,,,,,
7890130400725,Ovo De Páscoa Ao Leite Com Coelhos De Chocolate Lindt Caixa 125g,LINDT,,125g,,,,52,,,560,2343.04,,,,,,,,0,,,,,,6,,,,,,
7890130401050,Ovo De Páscoa Ao Leite Com Avelã Lindt Nocciolatte Caixa 350g,LINDT,,350g,,,,44,,,588,2460.192,,,,,,,,0,,,,,,7.2,,,,,,
7890130401173,Ovo De Páscoa Ao Leite Recheio Trufa De Chocolate Ao Leite Lindt Lindor Caixa 235g,LINDT LINDOR,,235g,,,,52,,,560,2343.04,,,,,,,,0,,,,,,6,,,,,,
7890130501255,Panettone Trufado Ao Leite,LINDT,,,,,,48,,,410,1705.2,,,,,,,,21,,,,,,6.6,,,,,,
7890130501354,Panettone Com Gotas De Chocolate Ao Leite Duplo Chocolate Lindt Caixa 400g,LINDT,en:panettone,400g,,27,,36,,,339,1415.8,,1.5,,,,8.1,,18,,,,,,7.4,,,185,,,
78901612,Licor Amaretto Dellorso 700ml,AMARETTO DELL ORSO,,700ml,,,,52,,,208,870.272,,,,,,,,0,,,,,,0,,,,,,
78902077,Requeijão light,,,,,4,,4,,,59,823.6,,,,,,10.7,,15,,,,,,11.8,,,174.4,,,
7890300117989,Polvilho azedo - Fritz,,,,,,,85,,,350,,,,,,,,,,,,,,,,,,,,,
7890300119082,Polvilho doce - Fritz,,,,,,,85,,,342,,,0.2,,,,,,,,,,,,0.4,,,,,,
7890300155929,Feijão Preto,Fritz & Frida,Alimentos enlatados,1 kg,,,,58.3333,,,373.8333,1358.3333,6.5,21.6667,,,,0,,1.1667,,,,,,21.6667,,,0,,,
7890300221341,Pipoca sabor chocolate,,,,,,,53,,,397,1740.3,,9.5,,,,8.1,,17,,,,,,7.9,,,,,,
7890300363614,Arroz Integral,Fritz & Frida,Rices,1 kg,,,,78,,,369.6,1152,,5,,,,0.6,,2,,,,,,7.4,,,4,,,
7890300567203,Massa Caseira com Ovos Pappardelle,Fritz e Frida,Massas secas,400 g,0,,,68.75,,,325,1441.25,,7.5,,,,0,,0,,,,,,12.5,,,70,,,
7890300569856,Tapioca - Fritz Frida,Fritz Frida,,500 g,,,,57,,,226,,,,,,,,,,,,,,,,,,,,,
7890300680322,Sagu de Mandioca Premium,Fritz e Frida,Tapioca,400 g,0,,,83.3333,,,340,1426.6667,,0,,,,0,,0,,,,,,0,,,0,,,
7890300691618,Creme De Avelã Com Cacau,Fritz e Frida,,,,,,59,,,524,2139.3,,,,,,,,28,,,,,,5.9,,,,,,
7890309198804,GranoLife - 800g,,,,,,,50,,,430,1827.6667,,11.6667,,,,1,,13.3333,,,,,,23,,,,,,
78903784,Sobremesa Láctea Chocolate Batavo Creamy Bandeja 180g 2 Unidades,Batavo,,180g,,,,21,,,152,635.968,,,,,,,,6,,,,,,3.5,,,,,,
78903791,Sobremesa Láctea Chocolate Branco Batavo Creamy Bandeja 180g 2 Unidades,Batavo,,180g,,,,22,,,145,606.68,,,,,,,,0,,,,,,4.2,,,,,,
7890409740101,Uva Rosada,,,,,,,17,,,70,,,,,,,,,,,,,,,,,,,,,
7890443889064,Queijo de coalho,,,,,,,,,,303.3333,,,,,,,13.3333,,21.6667,,,,,,23.3333,,,333.3333,,,
7890483572032,Manteiga de garrafa,Sabiá,,,,,,0.3667,,,343.3333,1427.5667,,,,,,,,38.2,,,,,,0.4667,,,,,,
7890523400516,Pão De Queijo,Caseiro Gourmet,,,0,,,26,,,224,980,,4.8,,,,2.4,,12.4,,,,,,2.4,,,520,,,
7890567137300,Filé de merluza temperado empanado - Swift,,,,,2.5385,,16.1538,,,196.9231,831.5385,,0.7692,,,,2.5385,,9.2308,,,,,,12.3077,,,,,,
7890603680708,Doce de leite,,,,,,,55,,,245,1181.4667,,,,,,,,4.3333,,,,,,5.0667,,,,,,
7890610659513,Lemonade clear whey isolate,Wicked Protein,,,,1,,1,,,95,,,,,,,,,,,,,,,23,,,,,,
78906679,Requeijão cremoso,Ibiacão,Requeijão cremoso,250g,0,0,,0,0,,333.3333,1336,0,0,0,,,21.3333,2.6667,31.6667,0,0,,,,9.6667,0,,513.3333,,0,0
7890688164049,Myowhey,PurusLabs,,,,,,8,,,132,559.6,,,,,,1,,1.8,,,,,,21,,,,,,
78906884,Pastilhas Valda Classic,Valda,,,,40,,90,,,415,,,,,,,,,,,,,,,0,,,90,,,
78907355,Talento meio amargo,GAROTO,,,,11,,48,,,524,2138,,2.1,,,,3.9,,31.6,,,,,,8,,,,,,
78907461,Talento avelã,Garoto Talento,,,,48,,52,,,544,2318,,4,,,,17.2,,34.4,,,,,,7.6,,,,,,
78907478,Talento Castanhas do Pará,"Garoto,Talento",en:Milk chocolate with dried fruits,25 g / 0.88 oz,42,51,,51,,,555,2313,,4,,,,18,,35,,,,,,7,,,61,,,
78907485,Chocolate Cereales y Pasas mini,TALENTO,,25 gr,,52,,56,,,536,2234.4,,0,,,,18.4,,30.8,,,,,,8.4,,,112,,,
78907492,Talento Amêndoas e Passas,"Garoto,Talento",en:Milk chocolates with raisins,25 g / 0.88 oz,54.5455,59.4997,125.7627,60,0.0389,3.8636,520,2224,0.175,4,107.8693,,,16,,28,19.5364,0.0612,0.1903,0.0398,177.2216,8,35.2273,0.2249,60,0.0293,0.4943,0.5157
78908826,Biscuits p’tit déj,,,,,18,,63,,,452,1879.6,,6.3,,,,7.6,,17,,,,,,7.6,,,272,,,
