codigo,grupo,descricao,umidade_pct,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_g,cinzas_g,calcio_mg,magnesio_mg,manganes_mg,fosforo_mg,ferro_mg,sodio_mg,potassio_mg,cobre_mg,zinco_mg,retinol_mcg,re_mcg,rae_mcg,tiamina_mg,riboflavina_mg,piridoxina_mg,niacina_mg,vitamina_c_mg
1,Cereais e derivados,"Arroz, integral, cozido",70.14,123.5,516.9,2.59,1,,25.81,2.75,0.46,5.2,58.7,0.627,105.85,0.26,1.24,75.15,0.02,0.68,,,,0.08,0,0.08,0,
2,Cereais e derivados,"Arroz, integral, cru",12.18,359.7,1504.9,7.32,1.86,,77.45,4.82,1.18,7.82,109.71,2.993,250.87,0.95,1.65,173.34,0.075,1.4,,,,0.262,0,0.175,4.183,
3,Cereais e derivados,"Arroz, tipo 1, cozido",69.11,128.3,536.6,2.52,0.23,,28.06,1.56,0.08,3.54,2.25,0.297,17.95,0.08,1.2,14.67,0.015,0.49,,,,0,0,0,0,
4,Cereais e derivados,"Arroz, tipo 1, cru",13.22,357.8,1497,7.16,0.34,,78.76,1.64,0.52,4.41,30.38,1.032,104.21,0.68,1.02,62.5,0.115,1.22,,,,0.163,0,0.069,1.117,
5,Cereais e derivados,"Arroz, tipo 2, cozido",68.73,130.1,544.4,2.57,0.36,,28.19,1.07,0.15,3.33,6.05,0.371,21.52,0.05,1.96,20.2,0.041,0.55,,,,0,0,0,0,
6,Cereais e derivados,"Arroz, tipo 2, cru",13.16,358.1,1498.4,7.24,0.28,,78.88,1.72,0.44,4.83,29.24,0.828,82.04,0.6,0.57,57.28,0.052,1.27,,,,0.163,0,0.049,0.918,
7,Cereais e derivados,"Aveia, flocos, crua",9.13,393.8,1647.8,13.92,8.5,,66.64,9.13,1.81,47.89,118.76,1.895,153.4,4.45,4.63,336.33,0.44,2.63,,,,0.553,0.03,0,4.47,1.35
8,Cereais e derivados,"Biscoito, doce, maisena",3.22,442.8,1852.8,8.07,11.97,,75.23,2.1,1.51,54.45,37.14,0.778,166.1,1.76,352.03,141.64,0.17,1.03,,,,1.01,0.417,0.23,3.907,6.22
9,Cereais e derivados,"Biscoito, doce, recheado com chocolate",2.18,471.8,1974.1,6.4,19.58,0,70.55,2.96,1.29,27.23,47.98,0.588,139.45,2.27,239.2,232.4,0.273,0.99,0,,,0.317,0.393,0.457,2.523,3.53
10,Cereais e derivados,"Biscoito, doce, recheado com morango",2.73,471.2,1971.4,5.72,19.57,0,71.01,1.53,0.96,35.78,27.1,0.659,137.74,1.48,229.82,113.01,0.127,0.73,0,,,0.897,0.42,0.21,1.497,0
11,Cereais e derivados,"Biscoito, doce, wafer, recheado de chocolate",1.17,502.5,2102.3,5.56,24.67,0,67.54,1.8,1.06,23.34,47.85,0.435,124.2,2.44,137.24,240.45,0.263,0.87,0,,,0.367,0.03,0.297,1.12,0
12,Cereais e derivados,"Biscoito, doce, wafer, recheado de morango",1.17,513.4,2148.3,4.52,26.4,1.27,67.35,0.82,0.56,13.71,18.54,0.28,73.16,1.09,119.9,74.84,0.083,0.51,0,,,0.357,0,0.94,0.373,
13,Cereais e derivados,"Biscoito, salgado, cream cracker",4.06,431.7,1806.4,10.06,14.44,,68.73,2.51,2.72,20,39.75,0.69,148.26,2.2,854.36,180.61,0.18,1.14,,,,0.71,0.13,0.17,7.137,
14,Cereais e derivados,"Bolo, mistura para",1,418.6,1751.6,6.16,6.13,0,84.71,1.7,2,58.88,27.92,0.463,332.66,1.21,462.88,75.36,0.153,0.58,,,,0.177,0,1.503,1.517,0
15,Cereais e derivados,"Bolo, pronto, aipim",34.13,323.9,1355,4.42,12.75,73.2,47.86,0.69,0.84,85.02,10.34,0.107,122.19,0.49,111.01,134.82,0.052,0.42,0,,,0.13,0.07,0,0,0
16,Cereais e derivados,"Bolo, pronto, chocolate",19.28,410,1715.5,6.22,18.47,76.8,54.72,1.43,1.31,74.58,27.69,0.379,196.98,2.13,283.3,211.76,0.046,0.71,0,,,0.133,0.093,0.05,0,0
17,Cereais e derivados,"Bolo, pronto, coco",29.32,333.4,1395.1,5.67,11.3,63.21,52.28,1.05,1.44,57.11,16.25,0.399,303.4,0.85,190.34,143.29,0.089,0.68,0,0,0,0.153,0.057,0,0,0
18,Cereais e derivados,"Bolo, pronto, milho",36.69,311.4,1302.8,4.8,12.41,81.69,45.11,0.71,0.98,82.58,10.25,0.108,128.2,0.65,133.81,118.43,0.04,0.43,56.89,,,0.11,0.05,0,0,0
19,Cereais e derivados,"Canjica, branca, crua",13.56,357.6,1496.2,7.2,0.97,,78.06,5.5,0.21,1.96,12.32,0.086,48.5,0.32,0.79,92.95,0.045,0.36,,,,0,0,0,0,0
20,Cereais e derivados,"Canjica, com leite integral",72.49,112.5,470.5,2.36,1.24,1.35,23.63,1.22,0.27,42.56,5.84,0.02,40.58,0.06,27.59,69.81,0.026,0.28,0,,,0,0.04,0,0,0
21,Cereais e derivados,"Cereais, milho, flocos, com sal",9.29,369.6,1546.4,7.29,1.6,,80.83,5.29,0.98,1.81,20.1,0,90.77,0.52,271.74,68.66,0,0.61,,,,0.12,0,0.06,0,0
22,Cereais e derivados,"Cereais, milho, flocos, sem sal",11.22,363.3,1520.2,6.88,1.18,,80.45,1.84,0.27,1.97,16.55,0,58.36,1.69,30.97,28.7,0.24,0.33,,,,0.05,0,0.04,0,0
23,Cereais e derivados,"Cereais, mingau, milho, infantil",4.7,394.4,1650.3,6.43,1.09,,87.27,3.21,0.51,218.81,16.03,0.106,169.16,3.03,399.4,82.02,0.043,0.36,21.42,,,3.723,0.467,5.077,24.163,109.37
24,Cereais e derivados,"Cereais, mistura para vitamina, trigo, cevada e aveia",4.37,381.1,1594.7,8.9,2.12,,81.62,4.98,3,584.25,72.27,2.284,515.04,12.64,1163.26,244.36,0.206,2.02,0,,,0.76,0.877,1.487,7.457,13.11
25,Cereais e derivados,"Cereal matinal, milho",5.53,365.4,1528.6,7.16,0.96,,83.82,4.12,2.54,142.92,10.93,0.059,100.8,3.05,654.54,83.09,0.06,7.63,,30.92,15.46,0.76,1.02,2.247,11.04,17.29
26,Cereais e derivados,"Cereal matinal, milho, açúcar",4.27,376.6,1575.5,4.74,0.67,,88.84,2.11,1.48,56.42,7.94,0.134,43.18,3.9,405.31,51.6,0.04,8.48,,30.92,15.46,0.727,1.11,0.787,10.133,14.55
27,Cereais e derivados,"Creme de arroz, pó",7.33,386,1615,7.03,1.23,,83.87,1.07,0.54,7.09,50.5,1.237,153.02,0.63,1.03,114.68,0.038,1.86,,,,0.217,0,0.053,0,0
28,Cereais e derivados,"Creme de milho, pó",5.65,333,1393.4,4.82,1.64,,86.15,3.72,1.74,323.16,30.06,0.2,303.27,4.26,593.79,165.72,0.043,0.78,,,,0.74,0,2.053,0,96.34
29,Cereais e derivados,"Curau, milho verde",81.56,78.4,328.2,2.36,1.64,4.74,13.94,0.46,0.49,52.6,15.96,0.056,74.66,0.45,20.51,161.84,0.025,0.4,12.07,20.07,16.07,0.037,0.07,0,0,0
30,Cereais e derivados,"Curau, milho verde, mistura para",3.92,402.3,1683.2,2.22,13.37,,79.82,2.52,0.67,30.88,8.5,0.055,44.62,0.86,222.93,55.34,0.029,0.24,,,,0.133,0,0,0,0
31,Cereais e derivados,"Farinha, de arroz, enriquecida",12.69,363.1,1519,1.27,0.3,,85.5,0.58,0.23,1.12,4.3,0.042,35.96,31.38,17.1,12.54,0,8.48,,,,3.233,0,3.467,24.423,173.59
32,Cereais e derivados,"Farinha, de centeio, integral",10.78,335.8,1404.9,12.52,1.75,,73.3,15.48,1.66,33.92,120.23,3.857,339.99,4.73,41.38,333.62,0.563,2.66,,,,0.287,0.03,0.08,0,0
33,Cereais e derivados,"Farinha, de milho, amarela",11.77,350.6,1466.9,7.19,1.47,,79.08,5.49,0.49,1.28,30.95,0,84.22,2.25,44.93,57.85,0.267,0.6,,18,9,0.253,0,0.253,0,0
34,Cereais e derivados,"Farinha, de rosca",9.81,370.6,1550.5,11.38,1.46,,75.79,4.82,1.56,35.3,56.88,1.621,194.96,6.73,332.5,212.14,0.263,1.67,,,,0.253,0,0.09,0,0
35,Cereais e derivados,"Farinha, de trigo",12.98,360.5,1508.2,9.79,1.37,,75.09,2.35,0.77,17.86,31,0.46,114.74,0.95,0.74,151.37,0.15,0.83,,,,0.313,0,0,0.89,0
36,Cereais e derivados,"Farinha, láctea, de cereais",2.7,414.9,1735.7,11.88,5.79,11.27,77.77,1.94,1.86,196.06,57.69,1.489,296.44,8.72,125.07,365.6,0.193,1.73,492.25,,,1.43,1.133,1.137,9.5,24.31
37,Cereais e derivados,"Lasanha, massa fresca, cozida",59.65,163.8,685.2,5.81,1.16,,32.52,1.64,0.86,9.97,3.54,0.195,42.38,1.19,206.77,53.91,0.071,0.41,,,,0.04,0,0,3.96,
38,Cereais e derivados,"Lasanha, massa fresca, crua",44.99,220.3,921.8,7.01,1.34,,45.06,1.61,1.61,16.55,12.59,0.345,81.96,1.87,666.71,136.61,0.098,0.76,,,,0.08,0,0,0,
39,Cereais e derivados,"Macarrão, instantâneo",5.97,435.9,1823.7,8.79,17.24,,62.43,5.61,5.57,17.63,19.37,0.253,112.15,0.8,1515.53,147.92,0.103,0.5,,,,1.18,0.04,0.533,9.367,0
40,Cereais e derivados,"Macarrão, trigo, cru",10.24,371.1,1552.8,10,1.3,,77.94,2.93,0.51,17.3,27.69,0.528,99.81,0.88,7.17,147.06,0.15,0.78,,,,0.177,0.02,0,3.567,0
41,Cereais e derivados,"Macarrão, trigo, cru, com ovos",10.56,370.6,1550.5,10.32,1.97,17.57,76.62,2.3,0.52,19.45,0,0.397,118.48,0.92,14.74,134.1,0.137,0.81,0,,,0.107,0.05,0.03,4.37,0
42,Cereais e derivados,"Milho, amido, cru",12.18,361.4,1512,0.6,0,,87.15,0.74,0.07,1.06,3.03,0.018,12.6,0.13,8.08,8.54,0.015,0.08,,,,0,0,0,0,0
43,Cereais e derivados,"Milho, fubá, cru",11.45,353.5,1479,7.21,1.9,,78.87,4.71,0.56,2.67,41.23,0.339,107.84,0.85,0,168.33,0.08,1.09,,26,13,0.253,0,0,0.747,0
44,Cereais e derivados,"Milho, verde, cru",63.54,138.2,578.1,6.59,0.61,,28.56,3.92,0.71,1.61,32.58,0.118,112.7,0.41,1.12,184.82,0.05,0.52,,32,16,0.3,0,0.04,0,0
45,Cereais e derivados,"Milho, verde, enlatado, drenado",76.22,97.6,408.2,3.23,2.35,,17.14,4.64,1.06,2.17,20.38,0.093,61.31,0.59,260.35,162.02,0.046,0.5,,48,24,0,0.05,0,3.737,1.74
